"Comment","Designator","Footprint","LCSC Part #"
"Conn_01x02","BAT1,BAT2,BAT3","SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm","no_part_number"
"0.1uF 0402","C1,C2,C3,C6,C7,C8,C9,C10","C_0402_1005Metric","no_part_number"
"22uF 0402","C4,C5","C_0402_1005Metric","no_part_number"
"2.2uF 0402","C11","C_0402_1005Metric","no_part_number"
"10uF 0805","C101,C102,C104","C_0805_2012Metric","no_part_number"
"0.1uF 0805","C103","C_0805_2012Metric","no_part_number"
"22uF 0805","C105,C106","C_0805_2012Metric","no_part_number"
"GW_CSSRM3","D101,D102,D103","GW_CSSRM3","no_part_number"
"USB_C_Receptacle_USB2.0","J1","USB_C_Receptacle_HRO_TYPE-C-31-M-12","no_part_number"
"Conn_01x02","J101,J102","SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm","no_part_number"
"22uH","L1","L_Sunlord_MWSA0402S","no_part_number"
"2.2uH","L101","L_Sunlord_MWSA0402S","no_part_number"
"BSP89","Q1,Q2,Q3","SOT-223-3_TabPin2","no_part_number"
"AO3401A","Q4,Q5","SOT-23","no_part_number"
"47 2512","R1,R4,R6","R_2512_6332Metric","no_part_number"
"100 0805","R2,R3,R5","R_0805_2012Metric","no_part_number"
"10K 0402","R7,R101","R_0402_1005Metric","no_part_number"
"5.1K 0402","R8,R9,R21,R22","R_0402_1005Metric","no_part_number"
"62K 0402","R10","R_0402_1005Metric","no_part_number"
"3K 0402","R11","R_0402_1005Metric","no_part_number"
"1K 0402","R18,R19,R20,R25,R26,R27","R_0402_1005Metric","no_part_number"
"1M 0402","R23","R_0402_1005Metric","no_part_number"
"0r 2512","R24","R_2512_6332Metric","no_part_number"
"0.5R 2512","R102","R_2512_6332Metric","no_part_number"
"51r 2512","R103","R_2512_6332Metric","no_part_number"
"SW_SPST","SW101","SW_SPDT_PCM12","no_part_number"
"HY2213","U1,U2,U3","SOT-23-6","no_part_number"
"MT3608","U4","SOT-23-6","no_part_number"
"8254","U9","HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm","no_part_number"
"TPS565208","U101","SOT-23-6","no_part_number"
