"Comment","Designator","Footprint","LCSC Part #"
"10uF 0805","C1,C2,C3","C_0805_2012Metric","no_part_number"
"0.1uF 0805","C4","C_0805_2012Metric","no_part_number"
"22uF 0805","C5,C6","C_0805_2012Metric","no_part_number"
"MountingHole","H1,H2","MountingHole_2.2mm_M2_DIN965_Pad","no_part_number"
"Conn_01x02","J1","SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm","no_part_number"
"2.2uH 10A","L1","L_Sunlord_MWSA0624S","no_part_number"
"KW H3L531.TE","LED1,LED2,LED3,LED4","KW_H3L531.TE","no_part_number"
"Value: Value: 10K 0805","R1","R_0805_2012Metric","no_part_number"
"190mΩ 2512","R2","R_2512_6332Metric","no_part_number"
"SW_SPST","SW1","SW_SPDT_PCM12","no_part_number"
"TPS565208","U1","SOT-23-6","no_part_number"
