Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF 0402,C_0402_1005Metric,23.125000,-52.387500,180.000000,top
C2,0.1uF 0402,C_0402_1005Metric,29.475000,-52.387500,180.000000,top
C3,0.1uF 0402,C_0402_1005Metric,35.200000,-52.462500,180.000000,top
C4,22uF 0402,C_0402_1005Metric,40.370000,-32.150000,0.000000,top
C5,22uF 0402,C_0402_1005Metric,34.650000,-31.650000,-90.000000,top
C6,0.1uF 0402,C_0402_1005Metric,34.000000,-42.100000,0.000000,top
C7,0.1uF 0402,C_0402_1005Metric,35.875000,-42.100000,0.000000,top
C8,0.1uF 0402,C_0402_1005Metric,37.750000,-42.100000,0.000000,top
C9,0.1uF 0402,C_0402_1005Metric,22.050000,-47.880000,-90.000000,top
C10,0.1uF 0402,C_0402_1005Metric,21.000000,-47.900000,-90.000000,top
C11,2.2uF 0402,C_0402_1005Metric,31.105000,-42.100000,0.000000,top
C101,10uF 0805,C_0805_2012Metric,66.500000,-40.890000,180.000000,top
C102,10uF 0805,C_0805_2012Metric,66.500000,-38.800000,180.000000,top
C103,0.1uF 0805,C_0805_2012Metric,66.500000,-36.789999,180.000000,top
C104,10uF 0805,C_0805_2012Metric,74.500000,-35.400000,180.000000,top
C105,22uF 0805,C_0805_2012Metric,78.500000,-32.100000,-90.000000,top
C106,22uF 0805,C_0805_2012Metric,80.600000,-35.300000,-90.000000,top
D101,GW_CSSRM3,GW_CSSRM3,62.799999,-42.900000,-90.000000,top
D102,GW_CSSRM3,GW_CSSRM3,62.800000,-38.800000,-90.000000,top
D103,GW_CSSRM3,GW_CSSRM3,62.800000,-34.700000,-90.000000,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,36.000000,-23.000000,0.000000,top
L1,MWSA0402S,L_Sunlord_MWSA0402S,30.250000,-31.450000,-90.000000,top
L101,MWSA0402S,L_Sunlord_MWSA0402S,74.500000,-32.000000,0.000000,top
Q1,BSP89,SOT-223-3_TabPin2,21.975001,-61.875000,90.000000,top
Q2,BSP89,SOT-223-3_TabPin2,30.250000,-61.875000,90.000000,top
Q3,BSP89,SOT-223-3_TabPin2,37.975000,-61.875000,90.000000,top
Q4,AO3401A,SOT-23,25.225000,-37.462500,270.000000,top
Q5,AO3401A,SOT-23,21.750000,-37.450000,270.000000,top
R1,47 2512,R_2512_6332Metric,21.975001,-68.300000,180.000000,top
R2,100 0805,R_0805_2012Metric,25.800000,-51.887500,180.000000,top
R3,100 0805,R_0805_2012Metric,32.124999,-51.887500,180.000000,top
R4,47 2512,R_2512_6332Metric,30.250000,-68.300000,180.000000,top
R5,100 0805,R_0805_2012Metric,37.900000,-51.962500,180.000000,top
R6,47 2512,R_2512_6332Metric,37.975000,-68.300000,180.000000,top
R7,10K 0402,R_0402_1005Metric,39.900000,-33.610000,90.000000,top
R8,5.1K 0402,R_0402_1005Metric,36.750000,-29.400000,90.000000,top
R9,5.1K 0402,R_0402_1005Metric,34.750000,-29.400000,90.000000,top
R10,62K 0402,R_0402_1005Metric,34.180000,-33.090000,0.000000,top
R11,3K 0402,R_0402_1005Metric,34.170000,-34.100000,180.000000,top
R18,1K 0402,R_0402_1005Metric,34.300000,-45.600000,90.000000,top
R19,1K 0402,R_0402_1005Metric,32.075000,-45.600000,0.000000,top
R20,1K 0402,R_0402_1005Metric,20.500000,-44.850000,90.000000,top
R21,5.1K 0402,R_0402_1005Metric,20.800000,-40.500000,90.000000,top
R22,5.1K 0402,R_0402_1005Metric,27.475000,-36.500000,90.000000,top
R23,1M 0402,R_0402_1005Metric,25.259999,-40.000000,0.000000,top
R24,0r 2512,R_2512_6332Metric,32.580000,-37.430000,180.000000,top
R25,1K 0402,R_0402_1005Metric,38.190000,-43.560000,-90.000000,top
R26,1K 0402,R_0402_1005Metric,39.210000,-43.560000,-90.000000,top
R27,1K 0402,R_0402_1005Metric,40.240000,-43.560000,-90.000000,top
R101,10K 0402,R_0402_1005Metric,74.500000,-41.100000,180.000000,top
R102,0.5R 2512,R_2512_6332Metric,70.300000,-38.800000,90.000000,top
R103,51r 2512,R_2512_6332Metric,20.250000,-53.212500,90.000000,top
SW101,SW_SPST,SW_SPDT_PCM12,62.800000,-56.225000,0.000000,top
U1,HY2213,SOT-23-6,23.900000,-55.000000,90.000000,top
U2,HY2213,SOT-23-6,30.250000,-55.000000,90.000000,top
U3,HY2213,SOT-23-6,35.975000,-55.074999,90.000000,top
U4,MT3608,SOT-23-6,37.250000,-32.150000,180.000000,top
U9,8254,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm,26.575000,-44.625000,270.000000,top
U101,TPS565208,SOT-23-6,74.500000,-38.800000,180.000000,top
