"Comment","Designator","Footprint","LCSC Part #"
"0402 4.7uF","C1,C2","C_0402_1005Metric","no_part_number"
"0402 1uF","C3","C_0402_1005Metric","no_part_number"
"0805 4.7uF","C4,C5","C_0805_2012Metric","no_part_number"
"0402 led","D1,D2","LED_0402_1005Metric","no_part_number"
"HRO_TYPE_C_31_M_12","J1","USB_C_Receptacle_HRO_TYPE-C-31-M-12","no_part_number"
"Conn_01x02","J2","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","no_part_number"
"2.2uH 4020","L1","L_Wurth_WE-LQSH-4020","no_part_number"
"GW JTLMS1.EM-GWH4-XX51-1","MAINLED1,MAINLED2,MAINLED3,MAINLED4,MAINLED5,MAINLED6,MAINLED7,MAINLED8,MAINLED9","LED_PLCC_2835","no_part_number"
"4.12K 0402","R1","R_0402_1005Metric","no_part_number"
"1.18K 0402","R2","R_0402_1005Metric","no_part_number"
"1.13K 0402","R3","R_0402_1005Metric","no_part_number"
"1.5K 0402","R4,R5","R_0402_1005Metric","no_part_number"
"10K 0402","R6","R_0402_1005Metric","no_part_number"
"5.1K 0402","R7,R8","R_0402_1005Metric","no_part_number"
"500mΩ 2512","R9","R_2512_6332Metric","no_part_number"
"SW_SPDT","SW1","SW_SPDT_PCM12","no_part_number"
"BQ24074RGT","U1","VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm","no_part_number"
"TLV62569DBV","U2","SOT-23-5","no_part_number"
