Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0402 4.7uF,C_0402_1005Metric,55.100000,-35.430000,-90.000000,top
C2,0402 4.7uF,C_0402_1005Metric,49.345000,-35.200000,180.000000,top
C3,0402 1uF,C_0402_1005Metric,53.800000,-31.900001,90.000000,top
C4,0805 4.7uF,C_0805_2012Metric,41.150000,-44.600000,-45.000000,top
C5,0805 4.7uF,C_0805_2012Metric,45.100000,-45.700000,-45.000000,top
D1,0402 led,LED_0402_1005Metric,53.050000,-40.017500,-90.000000,top
D2,0402 led,LED_0402_1005Metric,54.050000,-40.017500,-90.000000,top
J1,HRO_TYPE_C_31_M_12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,21.650000,-34.950000,90.000000,top
J2,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,49.200000,-41.600000,90.000000,top
L1,2.2uH 4020,L_Wurth_WE-LQSH-4020,44.075000,-50.175000,0.000000,top
MAINLED1,GW JTLMS1.EM-GWH4-XX51-1,LED_PLCC_2835,34.400000,-38.325000,0.000000,top
MAINLED2,GW JTLMS1.EM-GWH4-XX51-1,LED_PLCC_2835,34.400000,-34.950000,0.000000,top
MAINLED3,GW JTLMS1.EM-GWH4-XX51-1,LED_PLCC_2835,34.400000,-31.575000,0.000000,top
MAINLED4,GW JTLMS1.EM-GWH4-XX51-1,LED_PLCC_2835,43.550000,-34.950000,0.000000,top
MAINLED5,GW JTLMS1.EM-GWH4-XX51-1,LED_PLCC_2835,43.550000,-31.575000,0.000000,top
MAINLED6,GW JTLMS1.EM-GWH4-XX51-1,LED_PLCC_2835,38.970000,-34.950000,0.000000,top
MAINLED7,GW JTLMS1.EM-GWH4-XX51-1,LED_PLCC_2835,38.970000,-31.575000,0.000000,top
MAINLED8,GW JTLMS1.EM-GWH4-XX51-1,LED_PLCC_2835,38.970000,-38.325000,0.000000,top
MAINLED9,GW JTLMS1.EM-GWH4-XX51-1,LED_PLCC_2835,43.550000,-38.325000,0.000000,top
R1,4.12K 0402,R_0402_1005Metric,51.900000,-31.809999,-90.000000,top
R2,1.18K 0402,R_0402_1005Metric,55.559999,-34.000000,180.000000,top
R3,1.13K 0402,R_0402_1005Metric,50.850000,-31.815001,-90.000000,top
R4,1.5K 0402,R_0402_1005Metric,54.050000,-38.084999,-90.000000,top
R5,1.5K 0402,R_0402_1005Metric,53.050000,-38.085000,-90.000000,top
R6,10K 0402,R_0402_1005Metric,49.340000,-34.200000,180.000000,top
R7,5.1K 0402,R_0402_1005Metric,23.164800,-28.549600,90.000000,top
R8,5.1K 0402,R_0402_1005Metric,22.123400,-28.549600,90.000000,top
R9,500mΩ 2512,R_2512_6332Metric,37.033200,-49.530000,-45.000000,top
SW1,SW_SPDT,SW_SPDT_PCM12,26.550000,-47.350000,-45.000000,top
U1,BQ24074RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,52.450000,-34.950000,270.000000,top
U2,TLV62569DBV,SOT-23-5,38.950000,-46.300000,315.000000,top
